"Date","Price","Open","High","Low","Change %"
"Jun 21, 2016","2.9097","2.9061","2.9160","2.8920","0.12%"
"Jun 20, 2016","2.9062","2.9316","2.9316","2.8960","-0.71%"
"Jun 17, 2016","2.9271","2.9324","2.9381","2.9242","-0.13%"
"Jun 16, 2016","2.9310","2.9250","2.9600","2.9210","0.21%"
"Jun 15, 2016","2.9250","2.9370","2.9405","2.9160","-0.34%"
"Jun 14, 2016","2.9350","2.9198","2.9420","2.9132","0.53%"
"Jun 13, 2016","2.9196","2.9293","2.9350","2.9085","-0.32%"
"Jun 10, 2016","2.9291","2.8922","2.9398","2.8922","1.29%"
"Jun 09, 2016","2.8919","2.8914","2.9026","2.8858","-0.04%"
"Jun 08, 2016","2.8931","2.8966","2.9013","2.8790","-0.14%"
"Jun 07, 2016","2.8971","2.9044","2.9125","2.8915","-0.23%"
"Jun 06, 2016","2.9039","2.9112","2.9172","2.9023","0.04%"
"Jun 03, 2016","2.9028","2.9488","2.9538","2.9009","-1.56%"
"Jun 02, 2016","2.9488","2.9421","2.9546","2.9336","0.23%"
"Jun 01, 2016","2.9419","2.9499","2.9585","2.9324","-0.26%"
"May 31, 2016","2.9495","2.9550","2.9604","2.9425","-0.22%"
"May 30, 2016","2.9560","2.9575","2.9700","2.9477","-0.05%"
"May 27, 2016","2.9575","2.9341","2.9639","2.9330","0.78%"
"May 26, 2016","2.9346","2.9373","2.9480","2.9240","-0.07%"
"May 25, 2016","2.9368","2.9435","2.9550","2.9290","-0.26%"
"May 24, 2016","2.9445","2.9962","3.0145","2.9405","-1.69%"
"May 23, 2016","2.9952","2.9770","2.9985","2.9729","0.64%"
"May 20, 2016","2.9762","2.9850","2.9915","2.9670","-0.36%"
"May 19, 2016","2.9870","2.9905","3.0040","2.9820","-0.11%"
"May 18, 2016","2.9902","2.9631","2.9942","2.9600","0.89%"
"May 17, 2016","2.9637","2.9762","2.9774","2.9570","-0.44%"
"May 16, 2016","2.9767","2.9670","2.9878","2.9588","0.22%"
"May 13, 2016","2.9702","2.9605","2.9755","2.9510","0.27%"
"May 12, 2016","2.9623","2.9545","2.9670","2.9398","0.33%"
"May 11, 2016","2.9527","2.9502","2.9760","2.9400","0.04%"
"May 10, 2016","2.9516","2.9440","2.9581","2.9291","0.23%"
"May 09, 2016","2.9449","2.9276","2.9503","2.9110","0.60%"
"May 06, 2016","2.9273","2.9226","2.9436","2.9080","0.11%"
"May 05, 2016","2.9242","2.9623","2.9623","2.8937","-1.29%"
"May 04, 2016","2.9625","2.8508","2.9788","2.8438","3.98%"
"May 03, 2016","2.8491","2.8047","2.8518","2.7885","1.58%"
"May 02, 2016","2.8049","2.7954","2.8077","2.7879","0.34%"
"Apr 29, 2016","2.7955","2.8125","2.8150","2.7880","-0.62%"
"Apr 28, 2016","2.8129","2.8174","2.8349","2.8020","-0.21%"
"Apr 27, 2016","2.8189","2.8193","2.8405","2.8120","-0.07%"
